At time[2], Node[1] Sending [ACK] with number [1] , loss [No]
At time[2.5], Node[1] Sending [ACK] with number [2] , loss [Yes]
At time[3], Node[1] Sending [ACK] with number [3] , loss [Yes]
At time[3.5], Node[1] Sending [ACK] with number [0] , loss [No]
At time[5], Node[1] Sending [ACK] with number [1] , loss [No]
At time[13], Node[1] Sending [ACK] with number [2] , loss [Yes]
At time[13.5], Node[1] Sending [ACK] with number [3] , loss [No]
At time[14], Node[1] Sending [ACK] with number [0] , loss [No]
At time[14.5], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[23.5], Node[1] Sending [ACK] with number [2] , loss [Yes]
At time[24], Node[1] Sending [ACK] with number [3] , loss [Yes]
At time[24.5], Node[1] Sending [ACK] with number [0] , loss [Yes]
At time[25], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[34], Node[1] Sending [ACK] with number [2] , loss [No]
At time[34.5], Node[1] Sending [ACK] with number [3] , loss [Yes]
At time[35], Node[1] Sending [ACK] with number [0] , loss [Yes]
At time[35.5], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[45], Node[1] Sending [ACK] with number [3] , loss [Yes]
At time[45.5], Node[1] Sending [ACK] with number [0] , loss [No]
At time[46], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[55.5], Node[1] Sending [ACK] with number [3] , loss [Yes]
At time[56], Node[1] Sending [ACK] with number [0] , loss [No]
At time[56.5], Node[1] Sending [ACK] with number [1] , loss [No]
At time[66], Node[1] Sending [ACK] with number [3] , loss [Yes]
At time[66.5], Node[1] Sending [ACK] with number [0] , loss [Yes]
At time[67], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[76.5], Node[1] Sending [ACK] with number [3] , loss [No]
At time[77], Node[1] Sending [ACK] with number [0] , loss [Yes]
At time[77.5], Node[1] Sending [ACK] with number [1] , loss [No]
At time[79.5], Node[1] Sending [NACK] with number [1] , loss [Yes]
At time[87.5], Node[1] Sending [ACK] with number [0] , loss [No]
At time[88], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[89], Node[1] Sending [NACK] with number [1] , loss [No]
At time[90.5], Node[1] Sending [ACK] with number [0] , loss [No]
At time[98.5], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[99.5], Node[1] Sending [NACK] with number [1] , loss [Yes]
At time[100], Node[1] Sending [ACK] with number [0] , loss [No]
At time[109], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[110], Node[1] Sending [NACK] with number [1] , loss [No]
At time[110.5], Node[1] Sending [ACK] with number [0] , loss [Yes]
At time[119.5], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[120.5], Node[1] Sending [NACK] with number [1] , loss [No]
At time[121], Node[1] Sending [ACK] with number [0] , loss [No]
At time[130], Node[1] Sending [ACK] with number [1] , loss [No]
At time[131], Node[1] Sending [NACK] with number [1] , loss [No]
At time[131.5], Node[1] Sending [ACK] with number [0] , loss [No]
At time[137], Node[1] Sending [ACK] with number [1] , loss [No]
At time[141], Node[1] Sending [ACK] with number [2] , loss [Yes]
At time[141.5], Node[1] Sending [NACK] with number [2] , loss [Yes]
At time[142], Node[1] Sending [ACK] with number [0] , loss [No]
At time[146.5], Node[1] Sending [ACK] with number [1] , loss [Yes]
At time[151.5], Node[1] Sending [ACK] with number [2] , loss [No]
At time[152], Node[1] Sending [NACK] with number [2] , loss [No]
At time[152.5], Node[1] Sending [ACK] with number [0] , loss [Yes]
At time[157], Node[1] Sending [ACK] with number [1] , loss [No]
At time[162.5], Node[1] Sending [ACK] with number [3] , loss [No]
At time[163], Node[1] Sending [ACK] with number [0] , loss [No]
At time[165.5], Node[1] Sending [ACK] with number [3] , loss [Yes]
At time[166], Node[1] Sending [ACK] with number [0] , loss [No]
At time[167.5], Node[1] Sending [ACK] with number [1] , loss [No]
At time[170.5], Node[1] Sending [ACK] with number [1] , loss [No]
At time[174.5], Node[1] Sending [ACK] with number [2] , loss [No]
At time[175], Node[1] Sending [ACK] with number [3] , loss [No]
At time[175.5], Node[1] Sending [ACK] with number [0] , loss [No]
At time[176], Node[1] Sending [ACK] with number [1] , loss [No]
At time[178], Node[1] Sending [NACK] with number [1] , loss [Yes]
At time[178.1], Node[1] Sending [NACK] with number [1] , loss [No]
At time[181.5], Node[1] Sending [ACK] with number [2] , loss [Yes]
At time[181.6], Node[1] Sending [ACK] with number [2] , loss [Yes]
At time[188], Node[1] Sending [ACK] with number [2] , loss [No]
At time[188.5], Node[1] Sending [NACK] with number [2] , loss [Yes]
At time[188.6], Node[1] Sending [NACK] with number [2] , loss [No]
At time[199], Node[1] Sending [ACK] with number [3] , loss [No]
At time[210], Node[1] Sending [ACK] with number [0] , loss [No]
